,file_name,wiki_commons_id,wiki_data_id,depicts,description,object_name,categories
0,File:95308970.jpg,95308970,Q100478733,The Paper Box Wages Regulations (Amendment) Order (Northern Ireland) 1967,Northern Ireland Statutory Rules and Orders 1967 No. 288,The Paper Box Wages Regulations (Amendment) Order (Northern Ireland) 1967,NA
1,File:89547234.jpg,89547234,Q34020,Niue,island country in the South Pacific Ocean in free association with New Zealand,Niue,['Niue']
2,File:2973733.jpg,2973733,Q66816348,"Manoeuvres navales à Toulon, juillet 1777",painting by Flotte de Saint Joseph,"Manoeuvres navales à Toulon, juillet 1777",['Naval manoeuvres toulon by Flotte de Saint-Joseph-MnM 3 OA 5 D']
3,File:26616360.jpg,26616360,Q206592,jet aircraft,aircraft class powered by jet propulsion engines,jet aircraft,['Aircraft with jet engines']
4,File:135369097.jpg,135369097,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
5,File:4357584.jpg,4357584,Q110767016,Houttuynia cordata ʽChameleon’,cultivar of Houttuynia cordata,Houttuynia cordata ʽChameleon’,"[""Houttuynia cordata 'Chameleon'""]"
6,File:131556102.jpg,131556102,Q3947,house,building usually intended for living in,house,['Houses']
7,File:139012769.jpg,139012769,Q294440,public space,places for public use,public space,['Public space']
8,File:142556982.jpg,142556982,Q123945780,Patrycja Özcan-Karolewska,Polish diplomat,Patrycja Özcan-Karolewska,['Patrycja Özcan-Karolewska']
9,File:95243854.jpg,95243854,Q100470162,The Mental Health (Institutions) Order (Northern Ireland) 1958,Northern Ireland Statutory Rules and Orders 1958 No. 65,The Mental Health (Institutions) Order (Northern Ireland) 1958,NA
10,File:21728163.jpg,21728163,Q5186285,St. Colman's Roman Catholic Church and Cemetery,historic church 2 miles east of the town Beckley in West Virginia,St. Colman's Roman Catholic Church and Cemetery,"[""St. Colman's Church (Irish Mountain, West Virginia)""]"
11,File:116201174.jpg,116201174,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
12,File:109923792.jpg,109923792,Q294440,public space,places for public use,public space,['Public space']
13,File:121556489.jpg,121556489,Q27081965,Numbers 1-20 And Attached Railings,"Camden, Greater London, WC1B",Numbers 1-20 And Attached Railings,NA
14,File:26921161.jpg,26921161,Q233320,scaffold,temporary structure used to support a work crew and materials,scaffold,['Scaffolding']
15,File:19731948.jpg,19731948,Q2573557,Bob Snoijink,"Dutch translator, writer, journalist",Bob Snoijink,['Bob Snoijink']
16,File:126062749.jpg,126062749,Q279913,Tabebuia chrysantha,species of plant,Tabebuia chrysantha,['Handroanthus chrysanthus']
17,File:131426202.jpg,131426202,Q29949079,Wikimedia Côte d'Ivoire,Wikimedia chapter in Côte d'Ivoire,Wikimedia Côte d'Ivoire,"[""Wikimedia Côte d'Ivoire""]"
18,File:86809248.jpg,86809248,Q1737,Bregenz,"capital of Vorarlberg, the westernmost federal state of Austria",Bregenz,['Bregenz']
19,File:125060795.jpg,125060795,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
20,File:118631298.jpg,118631298,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
21,File:130095239.jpg,130095239,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
22,File:112624041.jpg,112624041,Q1754,Stockholm,capital and largest city of Sweden,Stockholm,['Stockholm']
23,File:44650548.jpg,44650548,Q112721661,1993 Hsinchu mayoral election,election in Taiwan,1993 Hsinchu mayoral election,NA
24,File:102359299.jpg,102359299,Q60841530,Bianca Giovannini,singer,Bianca Giovannini,['Bianca Giovannini']
25,File:132984281.jpg,132984281,Q3947,house,building usually intended for living in,house,['Houses']
26,File:146908415.jpg,146908415,Q166065,Lelystad,"municipality and capital city of Flevoland, Netherlands",Lelystad,['Lelystad']
27,File:106511947.jpg,106511947,Q173387,grave,location where one dead person or a limited amount of people are buried,grave,['Graves']
28,File:142569450.jpg,142569450,Q801,Israel,country in Western-Asia,Israel,['Israel']
29,File:85233684.jpg,85233684,Q623270,horizontal bar,apparatus used in men's artistic gymnastics,horizontal bar,['Horizontal bar']
30,File:80073305.jpg,80073305,Q10884,tree,perennial woody plant,tree,['Trees']
31,File:89257355.jpg,89257355,Q582089,Hof van Delft,neighborhood in northwest Delft,Hof van Delft,['Hof van Delft']
32,File:143038397.jpg,143038397,Q13644139,Philocryptica polypodii,species of moth endemic to New Zealand,Philocryptica polypodii,['Philocryptica polypodii']
33,File:108061938.jpg,108061938,Q355304,watercourse,any flowing body of water,watercourse,['Watercourses']
34,File:142866825.jpg,142866825,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
35,File:130481761.jpg,130481761,Q44539,temple,structure reserved for religious or spiritual activities,temple,['Temples']
36,File:115617841.jpg,115617841,Q188509,suburb,human settlement that is part of/or near to a larger city or town,suburb,['Suburbs']
37,File:1906996.jpg,1906996,Q963044,Allen Toussaint,"American musician, songwriter and record producer (1938–2015)",Allen Toussaint,['Allen Toussaint']
38,File:128676056.jpg,128676056,Q501613,BMW 5 Series,BMW's mid-range luxury car series,BMW 5 Series,['BMW 5 Series']
39,File:63332371.jpg,63332371,Q24262612,Ben Loomis,American Nordic combined skier,Ben Loomis,['Ben Loomis']
40,File:139882132.jpg,139882132,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
41,File:133913228.jpg,133913228,Q214777,Lohja,city in the region of Uusimaa in Finland,Lohja,['Lohja']
42,File:106410229.jpg,106410229,Q628179,trail,path with a rough beaten or dirt/stone surface used for travel,trail,['Trails']
43,File:15836548.jpg,15836548,Q391849,Škoda 1201,car model,Škoda 1201,['Škoda 1201']
44,File:117033263.jpg,117033263,Q105889895,religious site,location significant to one or more religions,religious site,NA
45,File:127531935.jpg,127531935,Q2654996,4000 series,Family of integrated circuits,4000 series,['4000 Series']
46,File:118317885.jpg,118317885,Q106542294,Dennis Birnstock,German politician,Dennis Birnstock,['Dennis Birnstock']
47,File:113303222.jpg,113303222,Q33432868,Den Helder,city in the Netherlands,Den Helder,['Den Helder']
48,File:23886473.jpg,23886473,Q1056152,Royal Palace of Amsterdam,"former city hall (1652-1800), made a palace and public museum by Ludwig Napoleon, on Dam Square in the centre of Amsterdam, Netherlands",Royal Palace of Amsterdam,['Royal Palace of Amsterdam']
49,File:107012667.jpg,107012667,Q1943500,molinology,study of mills,molinology,NA
50,File:131792259.jpg,131792259,Q685067,Seaslug,type of surface-to-air missile,Seaslug,['Seaslug (missile)']
51,File:107158198.jpg,107158198,Q2244368,Schloss Übigau,château in Germany,Schloss Übigau,['Schloss Übigau']
52,File:128656824.jpg,128656824,Q29772,Jang Min Chul,South Korean electronic sports player,Jang Min Chul,['Jang Min-chul']
53,File:65003838.jpg,65003838,Q964959,Pete Domenici,United States Senator from New Mexico (1932–2017),Pete Domenici,['Pete Domenici']
54,File:126654990.jpg,126654990,Q131596,farm,"area of land for farming, or, for aquaculture, lake, river or sea, including various structures",farm,['Farms']
55,File:123325755.jpg,123325755,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
56,File:19350738.jpg,19350738,Q7110803,Our Lady of Good Counsel High School,"high school in Olney, Maryland, United States",Our Lady of Good Counsel High School,NA
57,File:14069950.jpg,14069950,Q47521,stream,body of water with current within bed and stream banks,stream,['Streams']
58,File:125952093.jpg,125952093,Q44844570,Na Liškově,"street in Krucemburk, Czech Republic",Na Liškově,['Na Liškově (Krucemburk)']
59,File:141985094.jpg,141985094,Q7598268,Standard Moroccan Amazigh,"standardised form of Amazigh language of Morocco (including all regional accents), written in Tifinagh alphabet",Standard Moroccan Amazigh,['Standard Moroccan Amazigh']
60,File:138068767.jpg,138068767,Q204776,bench,piece of furniture on which several people may sit at the same time,bench,['Benches']
61,File:127341646.jpg,127341646,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
62,File:86164929.jpg,86164929,Q215818,Torneträsk,lake in Kiruna municipality in Sweden,Torneträsk,['Torneträsk']
63,File:107589025.jpg,107589025,Q26888,London Borough of Croydon,borough in the London Region in England,London Borough of Croydon,['London Borough of Croydon']
64,File:88785461.jpg,88785461,Q88948269,Kizzmekia Corbett,American immunologist (1986-),Kizzmekia Corbett,['Kizzmekia Corbett']
65,File:98843344.jpg,98843344,Q104759549,Village School at Wróblewice,painting by Artur Grottger,Village School at Wróblewice,NA
66,File:34567821.jpg,34567821,Q16568678,Church of the transfiguration of Jesus Christ in Nowosiółki,"church building in Nowosiółki, Tomaszów Lubelski County, Poland",Church of the transfiguration of Jesus Christ in Nowosiółki,['Church of the transfiguration of Jesus Christ in Nowosiółki']
67,File:118075480.jpg,118075480,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
68,File:27358958.jpg,27358958,Q14508383,Wit Studio,Japanese animation studio,Wit Studio,['Wit Studio']
69,File:20089669.jpg,20089669,Q104383268,fruit seller,person who sells fruit,fruit seller,['Fruit vendors']
70,File:13644107.jpg,13644107,Q35872,boat,smaller watercraft,boat,['Boats']
71,File:69108086.jpg,69108086,Q4798264,Arthur Chipperfield,Australian cricketer (1905-1987),Arthur Chipperfield,['Arthur Chipperfield']
72,File:113229001.jpg,113229001,Q110027329,A Water Rail,watercolour by Isaac Spackman,A Water Rail,NA
73,File:113505147.jpg,113505147,Q3947,house,building usually intended for living in,house,['Houses']
74,File:40737822.jpg,40737822,Q4514629,Chertanovskaya Street,"street in Chertanovo Severnoye District, Russia",Chertanovskaya Street,['Chertanovskaya Street']
75,File:131796868.jpg,131796868,Q212198,pub,drinking establishment,pub,['Pubs']
76,File:37328117.jpg,37328117,Q368438,Ami Aspelund,Finnish singer,Ami Aspelund,['Ami Aspelund']
77,File:134322962.jpg,134322962,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
78,File:70685094.jpg,70685094,Q3935645,Rifugio Stivo Prospero Marchetti,"building in Arco, Italy",Rifugio Stivo Prospero Marchetti,['Rifugio Stivo Prospero Marchetti']
79,File:142521459.jpg,142521459,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
80,File:107626334.jpg,107626334,Q489357,farmhouse,chief dwelling-house attached to a farm,farmhouse,['Farmhouses']
81,File:47543596.jpg,47543596,Q108087569,Můstek,"bridge in Old Town, Czech Republic",Můstek,['Můstek (Můstek)']
82,File:107404729.jpg,107404729,Q670985,millstone,"stones used in gristmills, for grinding wheat or other grains",millstone,['Millstones']
83,File:6614061.jpg,6614061,Q10690253,Tallbergsbroarna,"bridge in Nordmaling, Sweden",Tallbergsbroarna,['Tallbergsbroarna']
84,File:129782260.jpg,129782260,Q15526039,St. Franziskus,"church building in Hannover, Germany",St. Franziskus,['St. Franziskus (Hannover)']
85,File:17685367.jpg,17685367,Q356574,Skyguide,Swiss air navigation service provider,Skyguide,['Skyguide']
86,File:98147378.jpg,98147378,Q1551574,hot air balloon,"lighter than air aircraft consisting of a bag, called an envelope, which contains heated air",hot air balloon,['Hot air balloons']
87,File:93153344.jpg,93153344,Q64168538,Alexander Schallenberg,Chancellor of Austria in 2021,Alexander Schallenberg,['Alexander Schallenberg']
88,File:52579196.jpg,52579196,Q6623354,Agamon HaHula,"lake in Hula Valley, Israel",Agamon HaHula,['Agamon HaHula']
89,File:16781210.jpg,16781210,Q670092,Abbey Church of Saint Foy,"abbatial church located in Aveyron, in France",Abbey Church of Saint Foy,['Abbatiale Sainte-Foy de Conques']
90,File:136759689.jpg,136759689,Q93352,coast,area where land meets the sea or ocean,coast,['Coasts']
91,File:74969847.jpg,74969847,Q598168,vault,Wikimedia compound page,vault,['Vault (gymnastics)']
92,File:81995088.jpg,81995088,Q3890054,Palazzo Ducale,"palazzo in Sassuolo, Italy",Palazzo Ducale,['Palazzo Ducale (Sassuolo)']
93,File:117450752.jpg,117450752,Q111466573,Trigg Dudley,gymnast,Trigg Dudley,['Trigg Dudley']
94,File:112349619.jpg,112349619,Q108325,chapel,"small place, building or room of Christian fellowship or worship, may be attached or not to a larger institution or part of a building",chapel,['Chapels']
95,File:34571171.jpg,34571171,Q1791841,Imam Reza Shrine,"shrine in Mashhad, Iranian national heritage site",Imam Reza Shrine,['Imam Reza Shrine']
96,File:81401092.jpg,81401092,Q1095072,Plattenbau,Plattenbau,Plattenbau,['Prefabricated buildings']
97,File:125874112.jpg,125874112,Q5004679,path,small road or street,path,['Paths']
98,File:98889348.jpg,98889348,Q178439,Cervantes,town in Western Australia,Cervantes,"['Cervantes, Western Australia']"
99,File:129268390.jpg,129268390,Q19857945,Loan Treasury building,building in Russia,Loan Treasury building,['Loan Treasury building']
100,File:114793404.jpg,114793404,Q1748884,Soldiers' and Sailors' Monument,monument in Indianapolis,Soldiers' and Sailors' Monument,"[""Soldiers' and Sailors' Monument (Indianapolis)""]"
101,File:125246923.jpg,125246923,Q355304,watercourse,any flowing body of water,watercourse,['Watercourses']
102,File:146281663.jpg,146281663,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
103,File:121664900.jpg,121664900,Q2644908,Alfred Bennett,Australian broadcaster,Alfred Bennett,NA
104,File:81798997.jpg,81798997,Q381885,tomb,burial place,tomb,['Tombs']
105,File:72811586.jpg,72811586,Q10332606,Atali monastery,"monastery in Crete, Greece",Atali monastery,['Moni Timiou Prodromou Atalis']
106,File:57644025.jpg,57644025,Q233320,scaffold,temporary structure used to support a work crew and materials,scaffold,['Scaffolding']
107,File:132159418.jpg,132159418,Q6157478,Japan National Route 41,road in Japan,Japan National Route 41,['Route 41 (Japan)']
108,File:40063372.jpg,40063372,Q455541,Anne Van Lancker,Belgian politician,Anne Van Lancker,['Anne Van Lancker']
109,File:51372181.jpg,51372181,Q15431425,Lepidium foliosum,species of plant,Lepidium foliosum,['Lepidium foliosum']
110,File:128055432.jpg,128055432,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
111,File:81039891.jpg,81039891,Q337423,Hans Rebane,"Estonian politician, diplomat and journalist (1882-1961)",Hans Rebane,['Hans Rebane']
112,File:106188438.jpg,106188438,Q93352,coast,area where land meets the sea or ocean,coast,['Coasts']
113,File:118436298.jpg,118436298,Q82604,design,creation of a plan or convention for the construction of an object or a system; process of creation; act of creativity and innovation,design,['Design']
114,File:139831173.jpg,139831173,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
115,File:101774127.jpg,101774127,Q13634881,passageway,passageway between two streets or buildings,passageway,['Passageways']
116,File:25330581.jpg,25330581,Q233320,scaffold,temporary structure used to support a work crew and materials,scaffold,['Scaffolding']
117,File:15170763.jpg,15170763,Q57826,Thongsing Thammavong,Prime Minister of Laos,Thongsing Thammavong,['Thongsing Thammavong']
118,File:95681901.jpg,95681901,Q99700259,The Welfare of Racing Greyhounds Regulations 2010,UK Statutory Instrument 2010 No. 543,The Welfare of Racing Greyhounds Regulations 2010,NA
119,File:76762021.jpg,76762021,Q26924728,"Peasant Woman, Seated with White Cap",painting by Vincent van Gogh,"Peasant Woman, Seated with White Cap","['Peasant Woman, Seated with White Cap (F144a)']"
120,File:33921063.jpg,33921063,Q106035325,Mittelschule Trachau,"heritage building in Dresden, Germany",Mittelschule Trachau,['Mittelschule Trachau']
121,File:141573480.jpg,141573480,Q294440,public space,places for public use,public space,['Public space']
122,File:61323106.jpg,61323106,Q285975,Vernon Coaker,British politician (born 1953),Vernon Coaker,['Vernon Coaker']
123,File:9221890.jpg,9221890,Q3395383,agricultural land,land used for agricultural purposes,agricultural land,['Agricultural land']
124,File:124824813.jpg,124824813,Q998341,Phegopteris connectilis,species of plant,Phegopteris connectilis,['Phegopteris connectilis']
125,File:89788467.jpg,89788467,Q61683391,Brachidontes ustulatus,species of mollusc,Brachidontes ustulatus,['Brachidontes ustulatus']
126,File:104583418.jpg,104583418,Q235352,crop,plant that can be grown and harvested extensively for profit or subsistence,crop,['Crops']
127,File:21122765.jpg,21122765,Q1010821,Andělská Hora Castle,castle,Andělská Hora Castle,['Castle Andělská Hora']
128,File:95127894.jpg,95127894,Q99760005,The Single Use Carrier Bags Charge (Wales) (Amendment) Regulations 2020,Wales Statutory Instrument 2020 No. 414 (W. 89),The Single Use Carrier Bags Charge (Wales) (Amendment) Regulations 2020,NA
129,File:64487067.jpg,64487067,Q511882,Steingrímur J. Sigfússon,Icelandic politician,Steingrímur J. Sigfússon,['Steingrímur J. Sigfússon']
130,File:107974624.jpg,107974624,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
131,File:115833578.jpg,115833578,Q811165,architectural heritage monument,type of cultural heritage monuments (buildings),architectural heritage monument,['Architectural monuments']
132,File:9313962.jpg,9313962,Q3395383,agricultural land,land used for agricultural purposes,agricultural land,['Agricultural land']
133,File:115210042.jpg,115210042,Q2624205,"St. Willibrord's Church, Utrecht",Roman Catholic church,"St. Willibrord's Church, Utrecht","['Sint-Willibrordkerk, Utrecht']"
134,File:74832682.jpg,74832682,Q937658,Chris Mazdzer,American luger in the Winter Olympics,Chris Mazdzer,['Christopher Mazdzer']
135,File:100381796.jpg,100381796,Q2,Earth,third planet from the Sun in the Solar System,Earth,['Earth']
136,File:103603839.jpg,103603839,Q628179,trail,path with a rough beaten or dirt/stone surface used for travel,trail,['Trails']
137,File:131984277.jpg,131984277,Q22698,park,"permanently dedicated recreation area, often open to the public and generally characterized by natural, historic, or landscape features",park,['Parks']
138,File:99258027.jpg,99258027,Q1718987,Oban,"locality in Southland District, Southland Region, New Zealand",Oban,"['Oban, New Zealand']"
139,File:119981827.jpg,119981827,Q1468621,Volkswagen Polo Mk4,car model (2001-2009),Volkswagen Polo Mk4,['Volkswagen Polo IV']
140,File:109118219.jpg,109118219,Q108257417,2021 PH27,near-Earth asteroid of the Atira group,2021 PH27,['2021 PH27']
141,File:89007823.jpg,89007823,Q5873059,Gabia la Grande,locality of Spain,Gabia la Grande,['Gabia Grande']
142,File:105706000.jpg,105706000,Q131596,farm,"area of land for farming, or, for aquaculture, lake, river or sea, including various structures",farm,['Farms']
143,File:142047637.jpg,142047637,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
144,File:25834007.jpg,25834007,Q243969,Gordon Moore,American businessman (1929–2023),Gordon Moore,['Gordon Moore']
145,File:133327834.jpg,133327834,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
146,File:138050004.jpg,138050004,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
147,File:24144736.jpg,24144736,Q17187742,"Duinhof, Overveen","villa in Bloemendaal, Netherlands","Duinhof, Overveen","['Duinhof, Overveen']"
148,File:131194095.jpg,131194095,Q18812028,Valérie Grenier,Canadian alpine skier,Valérie Grenier,['Valérie Grenier']
149,File:116434945.jpg,116434945,Q301437,Priego de Córdoba,municipality of Spain,Priego de Córdoba,['Priego de Córdoba']
150,File:124031216.jpg,124031216,Q52927961,convexity,geometric property,convexity,NA
151,File:21996634.jpg,21996634,Q59815,The Old Musician,painting by Manet,The Old Musician,['The Old Musician']
152,File:144109188.jpg,144109188,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
153,File:9929674.jpg,9929674,Q778200,Grand Duchess Maria Kirillovna of Russia,"eldest child of Grand Duke Kirill Vladimirovich of Russia and Princess Victoria Melita of Saxe-Coburg-Gotha; wife of Karl, 6th Prince of Leiningen (1907-1951)",Grand Duchess Maria Kirillovna of Russia,['Maria Kirillovna Romanova']
154,File:124550334.jpg,124550334,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
155,File:141497359.jpg,141497359,Q208502,railroad car,vehicle used for carrying cargo or passengers on rail transport system,railroad car,['Rail vehicles']
156,File:113407031.jpg,113407031,Q110126243,Keswick Lake,etching - Edward Alfred Goodall,Keswick Lake,NA
157,File:129895917.jpg,129895917,Q96361584,Pierre Bruno,Italian rugby union player,Pierre Bruno,['Pierre Bruno']
158,File:16577253.jpg,16577253,Q49439426,Station 150 Bärenloh,"Triangulation Column, 2nd Order Station, the Royal Saxon Triangulation in Saxony 1862-1890",Station 150 Bärenloh,['Königlich-Sächsische Triangulirung Station 150 Bärenloh']
159,File:131656085.jpg,131656085,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
160,File:127592178.jpg,127592178,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
161,File:129074869.jpg,129074869,Q115736185,Sikh Mission Centre,"gurdwara in Austral, New South Wales",Sikh Mission Centre,"['Sikh Mission Centre, Austral']"
162,File:107001467.jpg,107001467,Q735,art,field of work focused on creating expressive work intended to be appreciated for its beauty or emotional power (use Q838948 for the resulting work),art,['Art']
163,File:137920146.jpg,137920146,Q3947,house,building usually intended for living in,house,['Houses']
164,File:125985119.jpg,125985119,Q3947,house,building usually intended for living in,house,['Houses']
165,File:27549471.jpg,27549471,Q51401,LGBT pride flag,symbol of LGBT movement,LGBT pride flag,['LGBT pride flags']
166,File:60945613.jpg,60945613,Q29182,bishop,ordained or consecrated member of the Christian clergy,bishop,['Bishops']
167,File:34823470.jpg,34823470,Q105107778,St Peter's Church,"church in West India Quay, London",St Peter's Church,"[""St Peter's Barge""]"
168,File:35162672.jpg,35162672,Q38109744,"Filialkirche hll. Philippus und Jakobus, Gräbern","church and cemetery in Wolfsberg, Austria","Filialkirche hll. Philippus und Jakobus, Gräbern","['Filialkirche hll. Philippus und Jakobus, Gräbern']"
169,File:4940893.jpg,4940893,Q146,house cat,domesticated feline,house cat,['Felis silvestris catus']
