,file_name,wiki_commons_id,wiki_data_id,depicts,description,object_name,categories
0,File:86454909.jpg,86454909,Q6006485,Matthew Nable,"Australian rugby league footballer, and actor",Matthew Nable,['Matthew Nable']
1,File:115925483.jpg,115925483,Q15551,Sitges,"town in Catalonia, Spain",Sitges,['Sitges']
2,File:145506191.jpg,145506191,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
3,File:41663400.jpg,41663400,Q1235871,Dolmen Lo Morrel dos Fados,"dolmen in Pépieux, France",Dolmen Lo Morrel dos Fados,['Dolmen Lo Morrel dos Fados']
4,File:99213668.jpg,99213668,Q70040792,Membranobalanus porphyrophilus,species of Cirripedia,Membranobalanus porphyrophilus,['Membranobalanus porphyrophilus']
5,File:38950613.jpg,38950613,Q14685218,Armstrong-Walker House,"Middletown, Delaware",Armstrong-Walker House,NA
6,File:127137820.jpg,127137820,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
7,File:118399616.jpg,118399616,Q11017,Magelang City,"city in Central Java Province, Indonesia",Magelang City,['Magelang']
8,File:99315022.jpg,99315022,Q302817,Aaron Swartz,American computer programmer and internet-political activist (1986-2013),Aaron Swartz,['Aaron Swartz']
9,File:4170667.jpg,4170667,Q166564,sunset,daily disappearance of the Sun below the western half of the horizon,sunset,['Sunsets']
10,File:36733947.jpg,36733947,Q13504048,Lithophane antennata,species of moth,Lithophane antennata,['Lithophane antennata']
11,File:14975869.jpg,14975869,Q17464135,"Caumerbeeklaan 66, Heerlen","building in Heerlen, Netherlands","Caumerbeeklaan 66, Heerlen",NA
12,File:116098603.jpg,116098603,Q56397239,energy infrastructure,civil development for power production,energy infrastructure,['Energy infrastructure']
13,File:109273495.jpg,109273495,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
14,File:64809171.jpg,64809171,Q482816,parachute,device used to slow the motion of an object through an atmosphere,parachute,['Parachutes']
15,File:15417719.jpg,15417719,Q3825140,The Hippopotamus and Crocodile Hunt,"painting by Peter Paul Rubens, Alte Pinakothek",The Hippopotamus and Crocodile Hunt,NA
16,File:116976585.jpg,116976585,Q102225111,Jonas Eder,gymnast,Jonas Eder,['Jonas Eder']
17,File:128627924.jpg,128627924,Q111472219,Topázio Neto,"Brazilian businessman and politician, mayor of Florianópolis",Topázio Neto,['Topázio Neto']
18,File:23842103.jpg,23842103,Q17446398,"Boerderij Adegeest, Voorschoten","farmhouse in Voorschoten, Netherlands","Boerderij Adegeest, Voorschoten","['Boerderij Adegeest, Voorschoten']"
19,File:124850159.jpg,124850159,Q5004679,path,small road or street,path,['Paths']
20,File:125893107.jpg,125893107,Q7254548,Pseudobombax ellipticum,species of plant,Pseudobombax ellipticum,['Pseudobombax ellipticum']
21,File:87873478.jpg,87873478,Q83101,Taipei 101,"skyscraper located in Xinyi District, Taipei, Taiwan",Taipei 101,['Taipei 101']
22,File:82165680.jpg,82165680,Q2255651,Château de Montrottier,castle,Château de Montrottier,['Château de Montrottier']
23,File:65917547.jpg,65917547,Q2520762,Irene Vorrink,Dutch politician (1918-1996),Irene Vorrink,['Irene Vorrink']
24,File:138213755.jpg,138213755,Q175185,rural area,geographic area that is located outside towns and cities,rural area,['Countryside']
25,File:73697063.jpg,73697063,Q65621679,Croix du Grand Colombier,"monumental cross located in Ain, in France",Croix du Grand Colombier,['Croix du Grand Colombier']
26,File:122845789.jpg,122845789,Q48816942,Campsie,"townland in Northern Ireland, United Kingdom",Campsie,"['Campsie, County Tyrone']"
27,File:107902035.jpg,107902035,Q217541,sunglasses,type of glasses,sunglasses,['Sunglasses']
28,File:115244044.jpg,115244044,Q5972314,Zoomlion,Chinese construction and sanitation company,Zoomlion,['Zoomlion']
29,File:127808635.jpg,127808635,Q2924824,rockslide,type of landslide caused by rock failure,rockslide,NA
30,File:110628577.jpg,110628577,Q5004679,path,small road or street,path,['Paths']
31,File:89951346.jpg,89951346,Q61708307,Eidertal bei Flintbek,"protected landscape area in Schleswig-Holstein, Germany",Eidertal bei Flintbek,['Landschaftsschutzgebiet Eidertal bei Flintbek']
32,File:82210820.jpg,82210820,Q20203544,Mateusz Przybylko,German high jumper,Mateusz Przybylko,['Mateusz Przybylko']
33,File:125102776.jpg,125102776,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
34,File:2611269.jpg,2611269,Q188675,signature,handwritten mark made as a proof of identity and intent,signature,['Signatures']
35,File:112973415.jpg,112973415,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
