,file_name,wiki_commons_id,wiki_data_id,depicts,description,object_name,categories
0,File:136301636.jpg,136301636,Q438048,Dale Evans,"American actress, singer and writer",Dale Evans,['Dale Evans']
1,File:95219739.jpg,95219739,Q100478566,The Landlord and Tenant (War Damage) Rules (Northern Ireland) 1942,Northern Ireland Statutory Rules and Orders 1942 No. 18,The Landlord and Tenant (War Damage) Rules (Northern Ireland) 1942,NA
2,File:33769984.jpg,33769984,Q267874,Civic Center,"historic district in San Francisco, California, United States",Civic Center,"['Civic Center, San Francisco']"
3,File:99213445.jpg,99213445,Q6990995,Nematinae,subfamily of insects,Nematinae,['Nematinae']
4,File:15458392.jpg,15458392,Q1443019,Rosa 'Colour Wonder',rose cultivar,Rosa 'Colour Wonder',"[""Rosa 'Colour Wonder'""]"
5,File:61358381.jpg,61358381,Q193815,Ryan Gosling,Canadian actor,Ryan Gosling,['Ryan Gosling']
6,File:81058313.jpg,81058313,Q131214,antenna,"electrical device which converts electric power into radio waves, and vice versa",antenna,['Antennas']
7,File:5000946.jpg,5000946,Q911249,Dunaalmás,village in Hungary,Dunaalmás,['Dunaalmás']
8,File:71565956.jpg,71565956,Q1287413,Kamal Nath,Indian politician,Kamal Nath,['Kamal Nath']
9,File:126317235.jpg,126317235,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
10,File:97409436.jpg,97409436,Q165,sea,large body of saline water,sea,['Seas']
11,File:140074244.jpg,140074244,Q188509,suburb,human settlement that is part of/or near to a larger city or town,suburb,['Suburbs']
12,File:11733575.jpg,11733575,Q856397,CP Class 4700,locomotive class,CP Class 4700,['Portuguese locomotive type 4700']
13,File:130558662.jpg,130558662,Q35724,1960s,decade of the 1960s (1960-1969),1960s,['1960s']
14,File:98097288.jpg,98097288,Q23761791,Rama Thiaw,director and filmmaker,Rama Thiaw,['Rama Thiaw']
15,File:117266250.jpg,117266250,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
16,File:5313185.jpg,5313185,Q7747,Vladimir Putin,"President of Russia (1999–2008, 2012–present)",Vladimir Putin,['Vladimir Putin']
17,File:136590248.jpg,136590248,Q121335101,Oratia Bridge,"Bridge in Henderson, West Auckland, New Zealand",Oratia Bridge,['Oratia Bridge']
18,File:139718415.jpg,139718415,Q276362,Nové Zámky,town in Slovakia,Nové Zámky,['Nové Zámky']
19,File:126517573.jpg,126517573,Q8148,industrial sector,economic sector characterized by large scale automated manufacturing as in industrialization,industrial sector,['Industry (manufacturing)']
20,File:146264135.jpg,146264135,Q6867975,Minneapolis Club,"private club in Minneapolis, Minnesota",Minneapolis Club,['Minneapolis Club']
21,File:38183079.jpg,38183079,Q2361624,Ceratina zeteki,species of insect,Ceratina zeteki,['Ceratina zeteki']
22,File:125149881.jpg,125149881,Q7860,nature,"natural, physical, or material world and its phenomena",nature,['Nature']
23,File:131320052.jpg,131320052,Q80831,integrated circuit,"electronic circuit formed on a small, flat piece of semiconductor material",integrated circuit,['Integrated circuits']
24,File:90819501.jpg,90819501,Q146,house cat,domesticated feline,house cat,['Felis silvestris catus']
25,File:109465823.jpg,109465823,Q105889895,religious site,location significant to one or more religions,religious site,NA
26,File:61284693.jpg,61284693,Q10747509,Choerades femoratus,species of insect,Choerades femoratus,['Choerades femorata']
27,File:134993173.jpg,134993173,Q5004679,path,small road or street,path,['Paths']
28,File:86706750.jpg,86706750,Q6581097,male,"to be used in ""sex or gender"" (P21) to indicate that the human subject is a male or ""semantic gender"" (P10339) to indicate that a word refers to a male person",male,['Male humans']
29,File:93109672.jpg,93109672,Q680322,Qalhat,"ancient city of the Kingdom of Hormuz, in Oman",Qalhat,['Qalhat']
30,File:122649410.jpg,122649410,Q93352,coast,area where land meets the sea or ocean,coast,['Coasts']
31,File:123127671.jpg,123127671,Q113472880,Ron Snir,gymnast,Ron Snir,['Ron Snir']
32,File:48980519.jpg,48980519,Q6377968,Katrina Porter,Australian Paralympic swimmer,Katrina Porter,['Katrina Porter']
33,File:121832102.jpg,121832102,Q113382656,Eitan Gilad,Israeli colonel,Eitan Gilad,['Eitan Gilad']
34,File:95491894.jpg,95491894,Q100891626,Two-handled Kovsh,item RUS015 in the Khalili Collection of Enamels of the World,Two-handled Kovsh,NA
35,File:101929427.jpg,101929427,Q25271,International Space Station,modular space station in low Earth orbit,International Space Station,['International Space Station']
36,File:78253851.jpg,78253851,Q871991,cherry blossom,blossom of the cherry tree,cherry blossom,['Species of sakura']
37,File:83829472.jpg,83829472,Q48809478,Giorgia Villa,Italian artistic gymnast,Giorgia Villa,['Giorgia Villa']
38,File:106177528.jpg,106177528,Q54050,hill,"landform that extends above the surrounding terrain in lower mountain ranges, smaller than a mountain",hill,['Hills']
39,File:94319180.jpg,94319180,Q1264866,Château de la Ferté (La Ferté-Saint-Aubin),castle,Château de la Ferté (La Ferté-Saint-Aubin),['Château de la Ferté (La Ferté-Saint-Aubin)']
40,File:115633139.jpg,115633139,Q56397239,energy infrastructure,civil development for power production,energy infrastructure,['Energy infrastructure']
41,File:52240730.jpg,52240730,Q20499452,Church of the Holy Trinity in Bansko,"church building in Bansko, Bulgaria",Church of the Holy Trinity in Bansko,"['Holy Trinity Church, Bansko']"
42,File:119463266.jpg,119463266,Q5337,Orenburg,city in the south of Russia,Orenburg,['Orenburg']
43,File:127099164.jpg,127099164,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
44,File:117686583.jpg,117686583,Q93352,coast,area where land meets the sea or ocean,coast,['Coasts']
45,File:102297889.jpg,102297889,Q21185843,"The Wealthy Rival; or, A Summer Story That Needs No Explanation",1909 silent short film,"The Wealthy Rival; or, A Summer Story That Needs No Explanation","['The Wealthy Rival; or, A Summer Story That Needs No Explanation']"
46,File:66637915.jpg,66637915,Q235341,Yvonne van Gennip,Dutch speed skater,Yvonne van Gennip,['Yvonne van Gennip']
47,File:106537834.jpg,106537834,Q39816,valley,"low area between hills, often with a river running through it",valley,['Valleys']
48,File:122545360.jpg,122545360,Q1495710,Gasbehälter Augsburg,architectural structure,Gasbehälter Augsburg,['Gasbehälter Augsburg']
49,File:114535663.jpg,114535663,Q8148,industrial sector,economic sector characterized by large scale automated manufacturing as in industrialization,industrial sector,['Industry (manufacturing)']
50,File:96593089.jpg,96593089,Q2,Earth,third planet from the Sun in the Solar System,Earth,['Earth']
51,File:61084866.jpg,61084866,Q3306037,British Rail Class 37,class of 309 Co′Co′ 1750hp diesel-electric locomotives,British Rail Class 37,['British Rail Class 37']
52,File:37379102.jpg,37379102,Q1662011,industrial building,type of building,industrial building,['Industry buildings']
53,File:129340969.jpg,129340969,Q2552967,Wintringham,"village in North Yorkshire, England",Wintringham,['Wintringham']
54,File:122698896.jpg,122698896,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
55,File:101997409.jpg,101997409,Q628179,trail,path with a rough beaten or dirt/stone surface used for travel,trail,['Trails']
