,file_name,wiki_commons_id,wiki_data_id,depicts,description,parsed caption,commons_description
0,File:Interior de l'ermita de Sant Simeó a la vall de Cardó 20171209 145801.jpg,71052904,['Q96787019'],['Ermita de Sant Simeó'],[None],"Interior de l'ermita de Sant Simeó a la vall de Cardós.

","{'DateTime': {'value': '2018-07-22 16:28:06', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': ""Interior de l'ermita de Sant Simeó a la vall de Cardó 20171209 145801"", 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': ""Interiors of churches in Ribera d'Ebre|Pages with maps|Sant Simeó de Benifallet|Uploaded with VicuñaUploader"", 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'GPSLatitude': {'value': '40.949722', 'source': 'commons-desc-page'}, 'GPSLongitude': {'value': '0.580278', 'source': 'commons-desc-page'}, 'GPSMapDatum': {'value': 'WGS-84', 'source': 'commons-desc-page', 'hidden': ''}, 'ImageDescription': {'value': ""Interior de l'ermita de Sant Simeó a la vall de Cardós."", 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2017-12-09 14:58', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/wiki/User:Pere_prlpz"" title=""User:Pere prlpz"">pere prlpz</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 3.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 3.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'Attribution': {'value': 'Pere López Brosa', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/3.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-3.0', 'source': 'commons-templates', 'hidden': ''}}"
1,"File:Leerfabriek C. en A. van Gorp, Hoofdstraat 77 in Rijen - 7.JPG",48861945,['Q17593269'],"['Hoofdstraat 77, Rijen']",[None],"This is an image of
[rijksmonument](https://en.wikipedia.org/wiki/Rijksmonument
""en:Rijksmonument"") number
[516964](https://monumentenregister.cultureelerfgoed.nl/monumenten/516964)

","{'DateTime': {'value': '2016-05-18 11:03:30', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Leerfabriek C. en A. van Gorp, Hoofdstraat 77 in Rijen - 7', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Fotodag Theek5 Rijen 23 April 2016|Hoofdstraat 77, Rijen|Photographs by Olaf Janssen|Rijksmonumenten with known IDs|Self-published work', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'This is an image of <a href=""https://en.wikipedia.org/wiki/Rijksmonument"" class=""extiw"" title=""en:Rijksmonument"">rijksmonument</a> number <a rel=""nofollow"" class=""external text"" href=""https://monumentenregister.cultureelerfgoed.nl/monumenten/516964"">516964</a>', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2016-04-23 13:29:12', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/wiki/User:OlafJanssen"" title=""User:OlafJanssen"">OlafJanssen</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
2,File:Weißenbronn Kirche St Michael.jpg,81118315,"['Q2556977', 'Q2321721']","['Weißenbronn', 'St. Michael']","['human settlement in Germany', 'church building in Weißenbronn, Franconia, Germany']","You can see the church,the rectory (right) and a private house (left). The
picture was taken on the 90th anniversary of the local trombone choir
""Posaunenchor Weißenbronn"".

","{'DateTime': {'value': '2019-08-08 07:37:46', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Weißenbronn Kirche St Michael', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': '2019 in Heilsbronn|Aerial photographs of Landkreis Ansbach|Files with coordinates missing SDC location of creation (49° N, 10°E)|Pages with maps|Self-published work|St. Michael (Weißenbronn)|Weißenbronn', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'GPSLatitude': {'value': '49.326389', 'source': 'commons-desc-page'}, 'GPSLongitude': {'value': '10.817500', 'source': 'commons-desc-page'}, 'GPSMapDatum': {'value': 'WGS-84', 'source': 'commons-desc-page', 'hidden': ''}, 'ImageDescription': {'value': 'You can see the church,the rectory (right) and a private house (left). The picture was taken on the 90th anniversary of the local trombone choir ""Posaunenchor Weißenbronn"".', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2019-05-26 12:31:42', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/w/index.php?title=User:Johannesjom&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Johannesjom (page does not exist)"">Johannesjom</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
3,File:Kit body jomacombi1g.png,125893915,['Q1051799'],['Joma'],"['Spanish sports clothing manufacturer, which currently produces footwear and clothing for football, futsal, handball basketball, volleyball, running, tennis, padel, fitness. Its headquarters are located in Spain']","Joma Combi 1 - Green

","{'DateTime': {'value': '2022-11-24 15:04:16', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Kit body jomacombi1g', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Association football kit body|Self-published work', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Joma Combi 1 - Green', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2022-11-24', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/wiki/User:RossBFD"" title=""User:RossBFD"">RossBFD</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
4,File:Wilhelm Höffert kgl. sächs. & kgl. preuss. Hoffotograf Berlin Hamburg Hannover Leipzig Dresden Magdeburg Haake & Albers Frankfurt am Main Matrose adress site.jpg,16628355,"['Q672806', 'Q18508719']","['Leipziger Platz', 'Wilhelm Höffert']","['square in Berlin, Germany', 'German photographer']",,NA
5,File:Taekwondo at the 2020 Summer Olympics – Men's 68 kg – Hosseini (IRI) vs Ulugbek Rashitov (UZB) (5).jpg,108531796,['Q83445888'],['Ulugbek Rashitov'],['Uzbekistani taekwondo practitioner'],"Taekwondo at the 2020 Summer Olympics – Men's 68 kg – Hosseini (IRI) vs Huang
Y-j (TPE)

","{'DateTime': {'value': '2021-08-14 14:21:00', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': ""Taekwondo at the 2020 Summer Olympics – Men's 68 kg – Hosseini (IRI) vs Ulugbek Rashitov (UZB) (5)"", 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': ""Mirhashem Hosseini at the 2020 Summer Olympics|Photos from Mojnews.com|Taekwondo at the 2020 Summer Olympics – Men's 68 kg|Ulugbek Rashitov|Uzbekistan at the 2020 Summer Olympics"", 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': ""Taekwondo at the 2020 Summer Olympics – Men's 68 kg – Hosseini (IRI) vs Huang Y-j (TPE)"", 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2021-07-26 10:56:35', 'source': 'commons-desc-page'}, 'Credit': {'value': '<a rel=""nofollow"" class=""external free"" href=""https://www.mojnews.com/%D8%A8%D8%AE%D8%B4-%D8%B9%DA%A9%D8%B3-95/388186-%D8%A7%D9%84%D9%85%D9%BE%DB%8C%DA%A9-%D8%AA%D9%88%DA%A9%DB%8C%D9%88-%D8%B1%D9%82%D8%A7%D8%A8%D8%AA-%D9%87%D8%A7%DB%8C-%D8%AA%DB%8C%D8%B1%D8%A7%D9%86%D8%AF%D8%A7%D8%B2%DB%8C-%D8%AA%DA%A9%D9%88%D8%A7%D9%86%D8%AF%D9%88-%D8%A8%D8%A7%D9%86%D9%88%D8%A7%D9%86-%D8%A8%D8%B3%DA%A9%D8%AA%D8%A8%D8%A7%D9%84-%D9%85%D8%B1%D8%AF%D8%A7%D9%86#gsc.tab=0"">https://www.mojnews.com/%D8%A8%D8%AE%D8%B4-%D8%B9%DA%A9%D8%B3-95/388186-%D8%A7%D9%84%D9%85%D9%BE%DB%8C%DA%A9-%D8%AA%D9%88%DA%A9%DB%8C%D9%88-%D8%B1%D9%82%D8%A7%D8%A8%D8%AA-%D9%87%D8%A7%DB%8C-%D8%AA%DB%8C%D8%B1%D8%A7%D9%86%D8%AF%D8%A7%D8%B2%DB%8C-%D8%AA%DA%A9%D9%88%D8%A7%D9%86%D8%AF%D9%88-%D8%A8%D8%A7%D9%86%D9%88%D8%A7%D9%86-%D8%A8%D8%B3%DA%A9%D8%AA%D8%A8%D8%A7%D9%84-%D9%85%D8%B1%D8%AF%D8%A7%D9%86#gsc.tab=0</a>', 'source': 'commons-desc-page'}, 'Artist': {'value': 'mojnews.com', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'Attribution': {'value': 'MojNews', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-4.0', 'source': 'commons-templates', 'hidden': ''}}"
6,File:Phyllotopsis nidulans 166286056.jpg,112308838,['Q2424811'],['mock oyster'],['species of fungus'],"Stinking Orange Oyster (_Phyllotopsis nidulans_)

","{'DateTime': {'value': '2021-11-05 19:26:32', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Phyllotopsis nidulans 166286056', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Files with coordinates missing SDC location of creation|Fungi in October|INaturalist images reviewed by trusted reviewers|Media from iNaturalist|Pages with maps|Phyllotopsis nidulans|Russia photographs taken on 2021-10-29|Tricholomataceae in Russia|Uploaded with iNaturalist2Commons', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'GPSLatitude': {'value': '55.446244', 'source': 'commons-desc-page'}, 'GPSLongitude': {'value': '38.659806', 'source': 'commons-desc-page'}, 'GPSMapDatum': {'value': 'WGS-84', 'source': 'commons-desc-page', 'hidden': ''}, 'ImageDescription': {'value': 'Stinking Orange Oyster (<i>Phyllotopsis nidulans</i>)', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2021-10-29', 'source': 'commons-desc-page'}, 'Credit': {'value': '<a rel=""nofollow"" class=""external free"" href=""https://www.inaturalist.org/photos/166286056"">https://www.inaturalist.org/photos/166286056</a>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/5087989"">Kirill Kuptsov</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-4.0', 'source': 'commons-templates', 'hidden': ''}}"
7,File:2022-06-24 Budapest Cup Training Vault (Martin Rulsch) 115.jpg,122387352,['Q113472877'],['Peter Vidricko'],['gymnast'],"Vault exercise during the training at the 7th International Junior Budapest
Cup on 24 June 2022. Depicted: Peter Vidricko.

","{'DateTime': {'value': '2022-08-27 07:57:40', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': '2022-06-24 Budapest Cup Training Vault (Martin Rulsch) 115', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': '7th International Junior Budapest Cup 2022|Files by DerHexer|Files by DerHexer/7th International Junior Budapest Cup 2022|Personality rights warning|Peter Vidricko at 7th Budapest Cup 2022|Self-published work|Training 24 June at 7th Budapest Cup 2022|Uploaded with VicuñaUploader|Vault at 7th Budapest Cup 2022', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Vault exercise during the training at the 7th International Junior Budapest Cup on 24 June 2022. Depicted: Peter Vidricko.', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2022-06-24', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"">Self-photographed</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/wiki/User:DerHexer"" title=""User:DerHexer"">Martin Rulsch</a>, Wikimedia Commons', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'Attribution': {'value': 'Martin Rulsch, <a class=""external text"" href=""https://commons.wikimedia.org/wiki/File:2022-06-24_Budapest_Cup_Training_Vault_(Martin_Rulsch)_115.jpg"">Wikimedia Commons</a>, <a rel=""nofollow"" class=""external text"" href=""https://creativecommons.org/licenses/by-sa/4.0/legalcode"">CC BY-SA 4.0</a>', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': 'personality', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
8,File:Locomotora de Vapor 151F-3101.jpg,26076755,['Q11933869'],['RENFE 151F-3101'],['preserved Spanish 2-10-2 locomotive'],"Locomotora de Vapor 151F-3101

","{'DateTime': {'value': '2013-05-14 11:51:35', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Locomotora de Vapor 151F-3101', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'GFDL|License migration redundant|RENFE 151F-3101|Self-published work', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Locomotora de Vapor 151F-3101', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2012-05-13', 'source': 'commons-desc-page'}, 'Credit': {'value': '<a href=""//commons.wikimedia.org/w/index.php?title=Template:Museu_del_Ferrocarril_de_Catalunya&amp;action=edit&amp;redlink=1"" class=""new"" title=""Template:Museu del Ferrocarril de Catalunya (page does not exist)"">Template:Museu del Ferrocarril de Catalunya</a>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/wiki/Museu_del_Ferrocarril_de_Catalunya"" class=""mw-redirect"" title=""Museu del Ferrocarril de Catalunya"">Museu del Ferrocarril de Catalunya</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY 3.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution 3.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by/3.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-3.0', 'source': 'commons-templates', 'hidden': ''}}"
9,"File:Cathédrale Saint-Pierre - Vitrail, fenêtre B, figure fenêtre vitrail B - Poitiers - Médiathèque de l'architecture et du patrimoine - APMH00015479.jpg",89585759,['Q1481233'],['Poitiers Cathedral'],"['cathedral located in Vienne, in France']","Vitrail, fenêtre B, figure fenêtre vitrail B.

","{'DateTime': {'value': '2020-04-29 09:27:20', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Cathédrale Saint-Pierre.', 'source': 'commons-desc-page'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': ""Base Mérimée|Black and white photographs of France|Cathédrale Saint-Pierre de Poitiers in Médiathèque de l'architecture et du patrimoine|Cultural heritage monument objects in France with known IDs|Cultural heritage monuments in France with known IDs|Files from Base Mémoire via data.gouv.fr|Licence Ouverte|Monuments historiques classés|Médiathèque de l'architecture et du patrimoine|Mérimée with PA parameter|Objets monuments historiques classés|Pages with maps|Palissy|Palissy with PM parameter|Photographs from monuments historiques de 1851 à 1914 (Médiathèque de l'architecture et du patrimoine) uploaded by Gzen92Bot"", 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'GPSLatitude': {'value': '46.583921', 'source': 'commons-desc-page'}, 'GPSLongitude': {'value': '0.359948', 'source': 'commons-desc-page'}, 'GPSMapDatum': {'value': 'WGS-84', 'source': 'commons-desc-page', 'hidden': ''}, 'Artist': {'value': '<div class=""fn value"">\nLeprévost</div>', 'source': 'commons-desc-page'}, 'ImageDescription': {'value': 'Vitrail, fenêtre B, figure fenêtre vitrail B.', 'source': 'commons-desc-page'}, 'Credit': {'value': 'Médiathèque de l\'architecture et du patrimoine (<a rel=""nofollow"" class=""external text"" href=""https://data.culture.gouv.fr/api/v2/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/2952a0516a28e7494a98e067445b5828"">image</a>)', 'source': 'commons-desc-page'}, 'Permission': {'value': '<table cellspacing=""8"" cellpadding=""0"" style=""width:100%; clear:both; margin:0.5em auto; background-color:#f9f9f9; border:2px solid #e0e0e0;"" lang=""en"" class=""layouttemplate licensetpl mw-content-ltr""><tbody><tr><td style=""width:80px;""><span typeof=""mw:File""><span title=""Licence Ouverte""><img alt=""Licence Ouverte"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Logo-licence-ouverte2.svg/60px-Logo-licence-ouverte2.svg.png"" decoding=""async"" width=""60"" height=""85"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Logo-licence-ouverte2.svg/90px-Logo-licence-ouverte2.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Logo-licence-ouverte2.svg/120px-Logo-licence-ouverte2.svg.png 2x"" data-file-width=""744"" data-file-height=""1052""></span></span>\n</td>\n<td>This file is licensed under the <i><span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Open_licence_(French)"" class=""extiw"" title=""en:Open licence (French)""><span lang=""fr"" dir=""ltr"">Licence Ouverte 1.0</span></a></span></i> (<a href=""https://en.wikisource.org/wiki/fr:Licence_Ouverte,_version_1.0"" class=""extiw"" title=""s:fr:Licence Ouverte, version 1.0"">License text</a>, <a href=""https://en.wikisource.org/wiki/en:Open_Licence_v1.0"" class=""extiw"" title=""s:en:Open Licence v1.0"">English license text</a>).\n<p><span class=""licensetpl_long licensetpl_short"" style=""display: none"">Licence Ouverte</span><span class=""licensetpl_link"" style=""display: none"">https://www.etalab.gouv.fr/licence-ouverte-open-licence</span><span class=""licensetpl_attr_req"" style=""display: none"">true</span><span class=""licensetpl_link_req"" style=""display: none"">false</span>\n</p>\n</td></tr></tbody></table><style data-mw-deduplicate=""TemplateStyles:r666199556"">.mw-parser-output .responsive-license-cc{clear:both;text-align:center;box-sizing:border-box;width:100%;justify-content:space-around;align-items:center;margin:0.5em auto;background-color:#f9f9f9;border:2px solid #e0e0e0;border-spacing:8px;display:flex}.mw-parser-output .responsive-license-cc div{margin:4px}.mw-parser-output .rlicense-text div{margin:0.5em auto}@media screen and (max-width:640px){.mw-parser-output .responsive-license-cc{flex-flow:column}.mw-parser-output .rlicense-text{order:1}}</style><div class=""responsive-license-cc layouttemplate licensetpl mw-content-ltr"" lang=""en""><div class=""rlicense-icons""><span typeof=""mw:File""><span title=""w:en:Creative Commons""><img alt=""w:en:Creative Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/CC_some_rights_reserved.svg/90px-CC_some_rights_reserved.svg.png"" decoding=""async"" width=""90"" height=""36"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/CC_some_rights_reserved.svg/135px-CC_some_rights_reserved.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/CC_some_rights_reserved.svg/180px-CC_some_rights_reserved.svg.png 2x"" data-file-width=""744"" data-file-height=""300""></span></span><br><span typeof=""mw:File""><span title=""attribution""><img alt=""attribution"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cc-by_new_white.svg/24px-Cc-by_new_white.svg.png"" decoding=""async"" width=""24"" height=""24"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cc-by_new_white.svg/36px-Cc-by_new_white.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cc-by_new_white.svg/48px-Cc-by_new_white.svg.png 2x"" data-file-width=""64"" data-file-height=""64""></span></span> <span typeof=""mw:File""><span title=""share alike""><img alt=""share alike"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Cc-sa_white.svg/24px-Cc-sa_white.svg.png"" decoding=""async"" width=""24"" height=""24"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Cc-sa_white.svg/36px-Cc-sa_white.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Cc-sa_white.svg/48px-Cc-sa_white.svg.png 2x"" data-file-width=""64"" data-file-height=""64""></span></span></div><div class=""rlicense-text""><div class=""rlicense-declaration"">This file is licensed under the <a href=""https://en.wikipedia.org/wiki/en:Creative_Commons"" class=""extiw"" title=""w:en:Creative Commons"">Creative Commons</a> <a href=""//creativecommons.org/licenses/by-sa/4.0/deed.en"" class=""extiw"" title=""creativecommons:by-sa/4.0/deed.en"">Attribution-Share Alike 4.0 International</a> license.</div><div class=""rlicense-desc"" style=""text-align:left;"" lang=""en"">\n<dl><dd>You are free:\n<ul><li><b>to share</b> – to copy, distribute and transmit the work</li>\n<li><b>to remix</b> – to adapt the work</li></ul></dd>\n<dd>Under the following conditions:\n<ul><li><b>attribution</b> – You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.</li>\n<li><b>share alike</b> – If you remix, transform, or build upon the material, you must distribute your contributions under the <a rel=""nofollow"" class=""external text"" href=""https://creativecommons.org/share-your-work/licensing-considerations/compatible-licenses"">same or compatible license</a> as the original.</li></ul></dd></dl></div><span class=""licensetpl_link"" style=""display:none;"">https://creativecommons.org/licenses/by-sa/4.0</span><span class=""licensetpl_short"" style=""display:none;"">CC BY-SA 4.0 </span><span class=""licensetpl_long"" style=""display:none;"">Creative Commons Attribution-Share Alike 4.0 </span><span class=""licensetpl_link_req"" style=""display:none;"">true</span><span class=""licensetpl_attr_req"" style=""display:none;"">true</span></div></div>', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
