,file_name,wiki_commons_id,wiki_data_id,depicts,description,parsed caption,commons_description
0,File:Mausolée de Sidi Boutouchent Ben Yagoub Ben Saïd (Algérie).jpg,146362706,"['Q162875', 'Q262', 'Q429470', 'Q946333', 'Q212940']","['mausoleum', 'Algeria', 'Theniet El Had National Park', 'Sidi Boutouchent', 'Islamic architecture']","['monument enclosing the interment space or burial chamber of a deceased person or people', 'country in North Africa', 'national park', 'municipality of Algeria', 'architectural style']","Mausoleum of Sidi Boutouchent Ben Yagoub Ben Saïd (Algeria), located in Sidi
Boutouchent, 38026, Algeria

","{'DateTime': {'value': '2024-03-14 00:52:29', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Mausolée de Sidi Boutouchent Ben Yagoub Ben Saïd (Algérie)', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Algeria|CC-Zero|Deletion requests March 2024|Islamic architecture|Mausoleums|Muslims|Self-published work', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Mausoleum of Sidi Boutouchent Ben Yagoub Ben Saïd (Algeria), located in Sidi Boutouchent, 38026, Algeria', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2010-07-14', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/w/index.php?title=User:CINEFRICAMAG&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:CINEFRICAMAG (page does not exist)"">CINEFRICAMAG</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Zero, Public Domain Dedication', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'false', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'http://creativecommons.org/publicdomain/zero/1.0/deed.en', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc0', 'source': 'commons-templates', 'hidden': ''}}"
1,File:Statue of Liberty (6279782990).jpg,66537439,['Q9202'],['Statue of Liberty'],"['sculpture on Liberty Island in New York Harbor in New York City, New York, United States']","The head of Lady Liberty

","{'DateTime': {'value': '2018-02-18 00:04:34', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Statue of Liberty (6279782990)', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'August 2011 in New York City|Files uploaded by Artix Kreiger|Files with coordinates missing SDC location of creation|Flickr images reviewed by FlickreviewR 2|Head of the Statue of Liberty|Pages with maps|Photographs by Erik Drost|Statue of Liberty in 2011|United States photographs taken on 2011-08-02|Upshots of the Statue of Liberty', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'GPSLatitude': {'value': '40.690238', 'source': 'commons-desc-page'}, 'GPSLongitude': {'value': '-74.045791', 'source': 'commons-desc-page'}, 'GPSMapDatum': {'value': 'WGS-84', 'source': 'commons-desc-page', 'hidden': ''}, 'ImageDescription': {'value': 'The head of Lady Liberty', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': 'Taken on\xa02 August 2011, 11:29', 'source': 'commons-desc-page'}, 'Credit': {'value': '<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/edrost88/6279782990/"">Statue of Liberty</a>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/62091376@N03"">Erik Drost</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY 2.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution 2.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by/2.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-2.0', 'source': 'commons-templates', 'hidden': ''}}"
2,"File:Swinburne House, Bethnal Green Estate - geograph.org.uk - 6120265.jpg",143888460,"['Q3947', 'Q208152']","['house', 'London Borough of Tower Hamlets']","['building usually intended for living in', 'borough in the London Region in England']","Swinburne House, Bethnal Green Estate [![Edit this at Structured Data on
Commons](https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-
ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-
progressive.svg.png)](//commons.wikimedia.org/wiki/File:Swinburne_House,_Bethnal_Green_Estate_-
_geograph.org.uk_-_6120265.jpg#ooui-php-4 ""Edit this at Structured Data on
Commons"")

","{'DateTime': {'value': '2024-01-12 23:32:21', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Swinburne House, Bethnal Green Estate - geograph.org.uk - 6120265', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Images from Geograph Britain and Ireland|London Borough of Tower Hamlets|Pages with camera coordinates from SDC|Pages with maps|Pages with object coordinates from SDC', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'GPSLatitude': {'value': '51.527473', 'source': 'commons-desc-page'}, 'GPSLongitude': {'value': '-0.054400', 'source': 'commons-desc-page'}, 'GPSMapDatum': {'value': 'WGS-84', 'source': 'commons-desc-page', 'hidden': ''}, 'ImageDescription': {'value': 'Swinburne House, Bethnal Green Estate\xa0<span class=""mw-valign-text-top"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:Swinburne_House,_Bethnal_Green_Estate_-_geograph.org.uk_-_6120265.jpg#ooui-php-4"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/15px-OOjs_UI_icon_edit-ltr-progressive.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png 2x"" data-file-width=""20"" data-file-height=""20""></a></span>', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2019-04-06', 'source': 'commons-desc-page'}, 'Credit': {'value': '<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/photo/6120265"">Geograph Britain and Ireland</a>\xa0<span class=""mw-valign-text-top"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:Swinburne_House,_Bethnal_Green_Estate_-_geograph.org.uk_-_6120265.jpg#P7482"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/15px-OOjs_UI_icon_edit-ltr-progressive.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png 2x"" data-file-width=""20"" data-file-height=""20""></a></span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/9905"">Robin Webster</a>\xa0<span class=""mw-valign-text-top"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:Swinburne_House,_Bethnal_Green_Estate_-_geograph.org.uk_-_6120265.jpg#P170"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/15px-OOjs_UI_icon_edit-ltr-progressive.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png 2x"" data-file-width=""20"" data-file-height=""20""></a></span>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 2.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 2.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'Attribution': {'value': '<i>Swinburne House, Bethnal Green Estate</i> by\xa0Robin Webster', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/2.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-2.0', 'source': 'commons-templates', 'hidden': ''}}"
3,File:Kot - 2023.04.18.jpg,130860504,['Q146'],['house cat'],['domesticated feline'],"Kot - 2023.04.18.

","{'DateTime': {'value': '2023-04-18 19:10:09', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Kot - 2023.04.18', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Cat of user:Aw58|Self-published work|Sleeping cats', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Kot - 2023.04.18.', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2023-04-18 12:07:34', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/w/index.php?title=User:Aw58&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Aw58 (page does not exist)"">Aw58</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
4,File:2019-20 Nejmeh vs Tadamon Sour 05.jpg,91286276,['Q107476660'],['Bilal Hajo'],['Lebanese footballer'],"2019-20 Lebanese Premier League, Nejmeh vs Tadamon Sour

","{'DateTime': {'value': '2020-06-17 20:06:48', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': '2019-20 Nejmeh vs Tadamon Sour 05', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Ali Hamam|Bilal Hajo|Flickr images reviewed by FlickreviewR 2|Nejmeh v Tadamon Sour, 27 September 2019', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': '2019-20 Lebanese Premier League, Nejmeh vs Tadamon Sour', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2019-09-27', 'source': 'commons-desc-page'}, 'Credit': {'value': '<a rel=""nofollow"" class=""external free"" href=""https://www.flickr.com/photos/188925027@N05/50016584533/"">https://www.flickr.com/photos/188925027@N05/50016584533/</a>', 'source': 'commons-desc-page'}, 'Artist': {'value': 'falebanon', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY 2.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution 2.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by/2.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-2.0', 'source': 'commons-templates', 'hidden': ''}}"
5,File:The Police and Criminal Evidence Act 1984 (Drug Testing of Persons in Police Detention) (Prescribed Persons) Regulations 2001 (UKSI 2001-2645 qp).pdf,95609794,['Q99858863'],['The Police and Criminal Evidence Act 1984 (Drug Testing of Persons in Police Detention) (Prescribed Persons) Regulations 2001'],['UK Statutory Instrument 2001\xa0No. 2645'],"Section 63B of the Police and Criminal Evidence Act 1984, which was inserted
into that Act by section 57 of the Criminal Justice and Court Services Act
2000, gives police officers the power to request persons in police detention
to give samples of urine or non-intimate samples for the purpose of testing
for the presence of specified Class A drugs in the circumstances set out in
that section. Regulation 2 of these Regulations prescribes the persons who may
take samples for the purposes of such tests.

","{'DateTime': {'value': '2020-10-29 17:50:40', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': '<div class=""fn"">\nThe Police and Criminal Evidence Act 1984 (Drug Testing of Persons in Police Detention) (Prescribed Persons) Regulations 2001</div>', 'source': 'commons-desc-page'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Books without Wikidata item|Files with no machine-readable author|Images uploaded by Fæ|OGL v3.0|United Kingdom Statutory Instruments', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Section 63B of the Police and Criminal Evidence Act 1984, which was inserted into that Act by section 57 of the Criminal Justice and Court Services Act 2000, gives police officers the power to request persons in police detention to give samples of urine or non-intimate samples for the purpose of testing for the presence of specified Class A drugs in the circumstances set out in that section. Regulation 2 of these Regulations prescribes the persons who may take samples for the purposes of such tests.', 'source': 'commons-desc-page'}, 'Credit': {'value': '<p><a rel=""nofollow"" class=""external free"" href=""http://www.legislation.gov.uk/id/uksi/2001/2645"">http://www.legislation.gov.uk/id/uksi/2001/2645</a>\n</p>\n<dl><dd>PDF: <a rel=""nofollow"" class=""external free"" href=""http://www.legislation.gov.uk/uksi/2001/2645/made/data.pdf"">http://www.legislation.gov.uk/uksi/2001/2645/made/data.pdf</a></dd></dl><ul><li>Queen\'s Printer Version: <a rel=""nofollow"" class=""external free"" href=""https://www.legislation.gov.uk/uksi/2001/2645/pdfs/uksi_20012645_en.pdf"">https://www.legislation.gov.uk/uksi/2001/2645/pdfs/uksi_20012645_en.pdf</a></li></ul>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'OGL 3', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Open Government License 3', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}}"
6,File:Plain Sunset (20143201911).jpg,43736695,['Q166564'],['sunset'],['daily disappearance of the Sun below the western half of the horizon'],"Sunset as seen from the hills South of Christchurch.

[www.koenbr.com/](http://www.koenbr.com/)

","{'DateTime': {'value': '2015-09-28 03:05:03', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Plain Sunset (20143201911)', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Flickr images reviewed by FlickreviewR|Hills of New Zealand|New Zealand photographs taken on 2015-07-25|Orange sunsets|Sunsets of New Zealand', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': '<p>Sunset as seen from the hills South of Christchurch.\n</p>\n<a rel=""nofollow"" class=""external text"" href=""http://www.koenbr.com/"">www.koenbr.com/</a>', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2015-07-25 18:31', 'source': 'commons-desc-page'}, 'Credit': {'value': '<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/koennz/20143201911/"">Plain Sunset</a>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/74975935@N02"">koennz</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY 2.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution 2.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by/2.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-2.0', 'source': 'commons-templates', 'hidden': ''}}"
7,File:FridaysForFuture protest Berlin 2020-02-14 21.jpg,87045608,['Q85111650'],['FridaysForFuture protest Berlin 2020-02-14'],[None],"Fridays for Future Berlin Kundgebung am 14. Februar 2020 im Invalidenpark in
Berlin.

","{'DateTime': {'value': '2020-02-14 16:08:17', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'FridaysForFuture protest Berlin 2020-02-14 21', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'CC-Zero|FridaysForFuture protest Berlin 2020-02-14|Photographs by Leonhard Lenz|Self-published work', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Fridays for Future Berlin Kundgebung am 14. Februar 2020 im Invalidenpark in Berlin.', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2020-02-14 12:35:24', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/wiki/User:GPSLeo"" title=""User:GPSLeo"">Leonhard Lenz</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Zero, Public Domain Dedication', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'false', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'http://creativecommons.org/publicdomain/zero/1.0/deed.en', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc0', 'source': 'commons-templates', 'hidden': ''}}"
8,File:Statuia ecvestra a lui Gattamelata din Padova.jpg,34101250,['Q771017'],['Equestrian statue of Gattamelata'],['sculpture by Donatello'],"Equestrian statue of Gattamelata by Donatello, on Piazza del Santo (Padua)

","{'DateTime': {'value': '2014-07-20 05:11:41', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Statuia ecvestra a lui Gattamelata din Padova', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': 'Self-published work|Statue of Gattamelata by Donatello', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Equestrian statue of Gattamelata by Donatello, on Piazza del Santo (Padua)', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2014-07-07 14:29:17', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/wiki/User:Cezarika1"" title=""User:Cezarika1"">Cezar Suceveanu</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
9,File:Hamburg Airport Condor Airbus A320-212 D-AICC (DSC02538).jpg,133308209,"['Q27706', 'Q312517', 'Q15629208']","['Hamburg Airport', 'Condor Flugdienst', 'Airbus A320-212']","['airport in Fuhlsbüttel, Hamburg, Germany', 'German leisure airline', 'airliner, CFM56-5A3 powered version of the A320-200']","Der Airbus A320-212 der Fluggesellschaft Condor Flugdienst mit dem Kennzeichen
D-AICC startet auf der Bahn 15 des Flughafens Hamburg zu einem Flug nach
Antalya.

","{'DateTime': {'value': '2023-06-19 18:28:39', 'source': 'mediawiki-metadata', 'hidden': ''}, 'ObjectName': {'value': 'Hamburg Airport Condor Airbus A320-212 D-AICC (DSC02538)', 'source': 'mediawiki-metadata'}, 'CommonsMetadataExtension': {'value': 1.2, 'source': 'extension', 'hidden': ''}, 'Categories': {'value': '2023 at Hamburg Airport|Airbus A320 of Condor Airlines at Hamburg Airport|D-AICC (Airbus A320)|Self-published work', 'source': 'commons-categories', 'hidden': ''}, 'Assessments': {'value': '', 'source': 'commons-categories', 'hidden': ''}, 'ImageDescription': {'value': 'Der Airbus A320-212 der Fluggesellschaft Condor Flugdienst mit dem Kennzeichen D-AICC startet auf der Bahn 15 des Flughafens Hamburg zu einem Flug nach Antalya.', 'source': 'commons-desc-page'}, 'DateTimeOriginal': {'value': '2023-06-12 06:18:54', 'source': 'commons-desc-page'}, 'Credit': {'value': '<span class=""int-own-work"" lang=""en"">Own work</span>', 'source': 'commons-desc-page'}, 'Artist': {'value': '<a href=""//commons.wikimedia.org/w/index.php?title=User:MarcelX42&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:MarcelX42 (page does not exist)"">MarcelX42</a>', 'source': 'commons-desc-page'}, 'LicenseShortName': {'value': 'CC BY-SA 4.0', 'source': 'commons-desc-page', 'hidden': ''}, 'UsageTerms': {'value': 'Creative Commons Attribution-Share Alike 4.0', 'source': 'commons-desc-page'}, 'AttributionRequired': {'value': 'true', 'source': 'commons-desc-page', 'hidden': ''}, 'LicenseUrl': {'value': 'https://creativecommons.org/licenses/by-sa/4.0', 'source': 'commons-desc-page'}, 'Copyrighted': {'value': 'True', 'source': 'commons-desc-page', 'hidden': ''}, 'Restrictions': {'value': '', 'source': 'commons-desc-page', 'hidden': ''}, 'License': {'value': 'cc-by-sa-4.0', 'source': 'commons-templates', 'hidden': ''}}"
